frame,timestamp,shot_type,direction
798,31.92,Forehand,Left
798,31.92,Bounce,Left
801,32.04,Forehand,Left
804,32.16,Forehand,Left
807,32.28,Smash,Left
810,32.4,Smash,Left
810,32.4,Bounce,Left
813,32.52,Smash,Left
816,32.64,Smash,Straight
816,32.64,Bounce,Straight
831,33.24,Forehand,Left
837,33.48,Forehand,Straight
840,33.6,Forehand,Left
843,33.72,Forehand,Straight
846,33.84,Forehand,Left
849,33.96,Forehand,Straight
852,34.08,Forehand,Straight
855,34.2,Forehand,Straight
858,34.32,Smash,Left
861,34.44,Smash,Straight
867,34.68,Smash,Left
870,34.8,Smash,Left
873,34.92,Smash,Straight
885,35.4,Forehand,Right
888,35.52,Forehand,Right
891,35.64,Smash,Right
900,36.0,Forehand,Right
909,36.36,Forehand,Straight
912,36.48,Smash,Left
915,36.6,Smash,Straight
918,36.72,Smash,Left
918,36.72,Bounce,Left
921,36.84,Smash,Left
924,36.96,Smash,Straight
924,36.96,Bounce,Straight
927,37.08,Backhand,Straight
930,37.2,Backhand,Straight
936,37.44,Smash,Left
939,37.56,Smash,Left
942,37.68,Smash,Left
945,37.8,Smash,Left
945,37.8,Bounce,Left
948,37.92,Smash,Left
948,37.92,Bounce,Left
951,38.04,Backhand,Left
960,38.4,Forehand,Left
963,38.52,Backhand,Left
966,38.64,Forehand,Left
966,38.64,Bounce,Left
969,38.76,Forehand,Left
975,39.0,Smash,Straight
981,39.24,Smash,Left
984,39.36,Smash,Left
984,39.36,Bounce,Left
987,39.48,Forehand,Left
990,39.6,Forehand,Left
990,39.6,Bounce,Left
993,39.72,Forehand,Left
996,39.84,Smash,Left
999,39.96,Forehand,Left
999,39.96,Bounce,Left
1002,40.08,Forehand,Left
1005,40.2,Forehand,Left
1008,40.32,Forehand,Left
1008,40.32,Bounce,Left
1011,40.44,Forehand,Right
1014,40.56,Forehand,Right
1023,40.92,Forehand,Straight
1026,41.04,Forehand,Straight
1029,41.16,Forehand,Right
1032,41.28,Forehand,Right
1035,41.4,Forehand,Left
1038,41.52,Forehand,Right
1038,41.52,Bounce,Right
1041,41.64,Forehand,Left
